p,success_probability,mutual_information_bits
0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+00
1.000000000000000021e-02,9.925231933593750000e-01,1.925021974363219757e+00
2.000000000000000042e-02,9.844055175781250000e-01,1.859799474636226302e+00
2.999999999999999889e-02,9.767150878906250000e-01,1.804067345885955076e+00
4.000000000000000083e-02,9.691772460937500000e-01,1.753089434311607464e+00
5.000000000000000278e-02,9.620361328125000000e-01,1.707205396883671344e+00
5.999999999999999778e-02,9.539794921875000000e-01,1.658043625355765549e+00
7.000000000000000666e-02,9.461669921875000000e-01,1.612501301597114800e+00
8.000000000000000167e-02,9.378051757812500000e-01,1.565541743910935590e+00
8.999999999999999667e-02,9.298706054687500000e-01,1.522698000742469526e+00
1.000000000000000056e-01,9.228515625000000000e-01,1.485853015797869769e+00
1.100000000000000006e-01,9.159851074218750000e-01,1.450799254019327300e+00
1.199999999999999956e-01,9.093017578125000000e-01,1.417624373558157957e+00
1.300000000000000044e-01,9.014282226562500000e-01,1.379476764995423155e+00
1.400000000000000133e-01,8.945312500000000000e-01,1.347021155323004038e+00
1.499999999999999944e-01,8.866882324218750000e-01,1.310879664965726610e+00
1.600000000000000033e-01,8.798217773437500000e-01,1.279961854372332564e+00
1.700000000000000122e-01,8.719482421875000000e-01,1.245267827768882452e+00
1.799999999999999933e-01,8.644714355468750000e-01,1.213048392990984770e+00
1.900000000000000022e-01,8.570251464843750000e-01,1.181620917157474748e+00
2.000000000000000111e-01,8.495483398437500000e-01,1.150790855879503027e+00
2.099999999999999922e-01,8.420104980468750000e-01,1.120271006283922066e+00
2.200000000000000011e-01,8.338012695312500000e-01,1.087778059340299697e+00
2.300000000000000100e-01,8.269958496093750000e-01,1.061419871937801407e+00
2.399999999999999911e-01,8.201904296875000000e-01,1.035553047231153601e+00
2.500000000000000000e-01,8.116455078125000000e-01,1.003590906740785771e+00
2.600000000000000089e-01,8.046875000000000000e-01,9.781119091834831192e-01
2.700000000000000178e-01,7.974548339843750000e-01,9.521438901010037537e-01
2.800000000000000266e-01,7.897338867187500000e-01,9.249111285728308651e-01
2.899999999999999800e-01,7.828063964843750000e-01,9.009283571320357842e-01
2.999999999999999889e-01,7.742614746093750000e-01,8.718895161412719697e-01
3.099999999999999978e-01,7.668457031250000000e-01,8.471624215516666556e-01
3.200000000000000067e-01,7.590332031250000000e-01,8.216053980113611210e-01
3.300000000000000155e-01,7.513427734375000000e-01,7.969491261003895932e-01
3.400000000000000244e-01,7.438049316406250000e-01,7.732909970336003802e-01
3.500000000000000333e-01,7.365417480468750000e-01,7.507837122870159030e-01
3.599999999999999867e-01,7.296752929687500000e-01,7.298724459163636880e-01
3.699999999999999956e-01,7.229003906250000000e-01,7.095888726895844822e-01
3.800000000000000044e-01,7.161560058593750000e-01,6.896662327193030517e-01
3.900000000000000133e-01,7.088317871093750000e-01,6.684589852245790276e-01
4.000000000000000222e-01,7.007141113281250000e-01,6.453979316218715345e-01
4.100000000000000311e-01,6.931457519531250000e-01,6.243357101292648093e-01
4.199999999999999845e-01,6.855468750000000000e-01,6.035495722297161691e-01
4.299999999999999933e-01,6.778564453125000000e-01,5.829107881083996912e-01
4.400000000000000022e-01,6.701965332031250000e-01,5.627238161684490203e-01
4.500000000000000111e-01,6.622314453125000000e-01,5.421393445448587922e-01
4.600000000000000200e-01,6.550903320312500000e-01,5.240793956350719984e-01
4.700000000000000289e-01,6.476440429687500000e-01,5.055923229993692924e-01
4.799999999999999822e-01,6.393432617187500000e-01,4.853822042287065930e-01
4.899999999999999911e-01,6.318664550781250000e-01,4.675345661842819078e-01
5.000000000000000000e-01,6.249694824218750000e-01,4.514045320668740313e-01
5.100000000000000089e-01,6.170959472656250000e-01,4.333190967695845774e-01
5.200000000000000178e-01,6.088562011718750000e-01,4.147885371917479080e-01
