scale_factor,delay_ns,bloch_x,bloch_y,bloch_z,fidelity
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,-3.222656250000000000e-02,1.220703125000000000e-03,9.997401922788725637e-01
2.500000000000000000e+00,1.250000000000000000e+03,9.790039062500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.895019549083466925e-01
5.000000000000000000e+00,2.500000000000000000e+03,9.594726562500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.797363306054389653e-01
7.500000000000000000e+00,3.750000000000000000e+03,9.416503906250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.708251982810844893e-01
1.000000000000000000e+01,5.000000000000000000e+03,9.243164062500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.621582064942284518e-01
1.250000000000000000e+01,6.250000000000000000e+03,9.060058593750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.530029334268468322e-01
1.500000000000000000e+01,7.500000000000000000e+03,8.891601562500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.445800821693498550e-01
1.750000000000000000e+01,8.750000000000000000e+03,8.708496093750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.354248090333836529e-01
2.000000000000000000e+01,1.000000000000000000e+04,8.508300781250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.254150437092785175e-01
2.250000000000000000e+01,1.125000000000000000e+04,8.364257812500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.182128954727322157e-01
2.500000000000000000e+01,1.250000000000000000e+04,8.195800781250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.097900441310819986e-01
2.750000000000000000e+01,1.375000000000000000e+04,8.046875000000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,9.023437552525717109e-01
3.000000000000000000e+01,1.500000000000000000e+04,7.885742187500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.942871148160420613e-01
3.250000000000000000e+01,1.625000000000000000e+04,7.719726562500000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.859863337498373737e-01
3.500000000000000000e+01,1.750000000000000000e+04,7.587890625000000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.793945370139465423e-01
3.750000000000000000e+01,1.875000000000000000e+04,7.458496093750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.729248105825413440e-01
4.000000000000000000e+01,2.000000000000000000e+04,7.292480468750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.646240294934064430e-01
4.250000000000000000e+01,2.125000000000000000e+04,7.141113281250000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.570556702583980169e-01
4.500000000000000000e+01,2.250000000000000000e+04,7.009277343750000000e-01,-3.222656250000000000e-02,1.220703125000000000e-03,8.504638735004776962e-01
